Level,Name,PSGC Code
Bgy,Barangay 28,1380601028
Bgy,Barangay 29,1380601029
Bgy,Barangay 30,1380601030
Bgy,Barangay 31,1380601031
Bgy,Barangay 32,1380601032
Bgy,Barangay 33,1380601033
Bgy,Barangay 34,1380601034
Bgy,Barangay 35,1380601035
Bgy,Barangay 36,1380601036
Bgy,Barangay 37,1380601037
Bgy,Barangay 38,1380601038
Bgy,Barangay 39,1380601039
Bgy,Barangay 41,1380601041
Bgy,Barangay 42,1380601042
Bgy,Barangay 43,1380601043
Bgy,Barangay 44,1380601044
Bgy,Barangay 45,1380601045
Bgy,Barangay 46,1380601046
Bgy,Barangay 47,1380601047
Bgy,Barangay 48,1380601048
Bgy,Barangay 49,1380601049
Bgy,Barangay 50,1380601050
Bgy,Barangay 51,1380601051
Bgy,Barangay 52,1380601052
Bgy,Barangay 53,1380601053
Bgy,Barangay 54,1380601054
Bgy,Barangay 55,1380601055
Bgy,Barangay 56,1380601056
Bgy,Barangay 57,1380601057
Bgy,Barangay 58,1380601058
Bgy,Barangay 59,1380601059
Bgy,Barangay 60,1380601060
Bgy,Barangay 61,1380601061
Bgy,Barangay 62,1380601062
Bgy,Barangay 63,1380601063
Bgy,Barangay 64,1380601064
Bgy,Barangay 65,1380601065
Bgy,Barangay 66,1380601066
Bgy,Barangay 67,1380601067
Bgy,Barangay 68,1380601068
Bgy,Barangay 69,1380601069
Bgy,Barangay 70,1380601070
Bgy,Barangay 71,1380601071
Bgy,Barangay 72,1380601072
Bgy,Barangay 73,1380601073
Bgy,Barangay 74,1380601074
Bgy,Barangay 75,1380601075
Bgy,Barangay 76,1380601076
Bgy,Barangay 77,1380601077
Bgy,Barangay 78,1380601078
Bgy,Barangay 79,1380601079
Bgy,Barangay 80,1380601080
Bgy,Barangay 81,1380601081
Bgy,Barangay 82,1380601082
Bgy,Barangay 83,1380601083
Bgy,Barangay 84,1380601084
Bgy,Barangay 85,1380601085
Bgy,Barangay 86,1380601086
Bgy,Barangay 87,1380601087
Bgy,Barangay 88,1380601088
Bgy,Barangay 89,1380601089
Bgy,Barangay 90,1380601090
Bgy,Barangay 91,1380601091
Bgy,Barangay 92,1380601092
Bgy,Barangay 93,1380601093
Bgy,Barangay 94,1380601094
Bgy,Barangay 95,1380601095
Bgy,Barangay 96,1380601096
Bgy,Barangay 97,1380601097
Bgy,Barangay 98,1380601098
Bgy,Barangay 99,1380601099
Bgy,Barangay 100,1380601100
Bgy,Barangay 101,1380601101
Bgy,Barangay 102,1380601102
Bgy,Barangay 103,1380601103
Bgy,Barangay 104,1380601104
Bgy,Barangay 105,1380601105
Bgy,Barangay 106,1380601106
Bgy,Barangay 107,1380601107
Bgy,Barangay 108,1380601108
Bgy,Barangay 109,1380601109
Bgy,Barangay 110,1380601110
Bgy,Barangay 111,1380601111
Bgy,Barangay 112,1380601112
Bgy,Barangay 116,1380601116
